Name 	Link
Ricardo Saramago	https://www.flickr.com/photos/odrakir/5991887324/
Cory Schmitz	https://www.flickr.com/photos/coryschmitz/4542267725/in/photostream/
Alex Holyoake	https://www.flickr.com/photos/stairhopper/24136902398/
Matthew Paul Argall	https://www.flickr.com/photos/155643540@N07/43725735875/
Cozinhando Fantasias	https://www.flickr.com/photos/cozinhandofantasias/12916512504/
Kousuke Sekidou	https://www.flickr.com/photos/sekikos/3473311953/
Tim Bartel	https://www.flickr.com/photos/avatar-1/183465320/
Miguel Discart	https://www.flickr.com/photos/miguel_discart/47727556351/
Miguel Discart	https://www.flickr.com/photos/miguel_discart/33848483408/in/photostream/
Cozinhando Fantasias	https://www.flickr.com/photos/cozinhandofantasias/12916513134/in/photostream/
Cozinhando Fantasias	https://www.flickr.com/photos/cozinhandofantasias/12916192043/in/photostream/
Ricardo Saramago	https://www.flickr.com/photos/odrakir/5991330131/in/photostream/
Ricardo Saramago	https://www.flickr.com/photos/odrakir/5771410044/in/photostream/
Cozinhando Fantasias	https://www.flickr.com/photos/cozinhandofantasias/12916100155/in/photostream/
Carmelo Speltino	https://www.flickr.com/photos/pigliapost/1598206175/in/photostream/
Photo by FOX from Pexels	https://www.pexels.com/photo/white-and-black-xbox-one-wireless-controller-beside-white-and-multicolored-ceramic-cat-figurine-on-black-surface-1445238/
Jon M	https://www.flickr.com/photos/94175540@N06/8567308533/
Ray Hines	https://www.flickr.com/photos/rayhines/51663671207/in/photostream/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/collectible-figure-of-fictional-game-character-5795433/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/people-woman-art-animal-9983799/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/decoration-for-halloween-9901504/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/food-road-landscape-people-9727547/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/shopping-business-money-paper-9661256/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/9515296/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/toy-superhero-near-laptop-on-table-at-home-4048093/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/white-and-black-xbox-one-game-controller-9408470/
Photo by Erik Mclean from Pexels	https://www.pexels.com/photo/remote-controllers-for-game-console-on-floor-7104772/
Photo by Graftencom from Pixabay	https://pixabay.com/photos/printer-3d-white-the-background-2847972/
Photo by ZMorph3D from Pixabay	https://pixabay.com/photos/3d-printing-3d-printer-technology-3800204/
Photo by Mariakray from Pixabay	https://pixabay.com/photos/printing-press-3d-printing-6692407/
Photo by grom900 from Pixabay	https://pixabay.com/photos/paint-tube-watercolor-art-paint-6701475/
Photo by Pixabay from Pexels	https://www.pexels.com/photo/focus-photo-of-super-mario-luigi-and-yoshi-figurines-163036/
Photo by Eren Li from Pexels	https://www.pexels.com/photo/young-man-playing-videogame-in-vr-headset-with-controller-7241425/
Photo by Mateusz Dachfrom Pexels	https://www.pexels.com/photo/old-video-game-pad-with-controller-and-cassette-4502978/
Photo by Tima Miroshnichenko from Pexels	https://www.pexels.com/photo/light-fashion-man-people-6499176/
Photo by Marko Blazevic from Pexels	https://www.pexels.com/photo/person-playing-with-handheld-game-console-2708981/
Photo by George Milton from Pexels	https://www.pexels.com/photo/laptop-and-microphone-placed-near-chair-in-radio-studio-6953872/
Photo by George Milton from Pexels	https://www.pexels.com/photo/smartphone-on-tripod-recording-vlog-with-young-multiethnic-ladies-6953860/
Photo by John Petalcurin from Pexels	https://www.pexels.com/photo/close-up-photo-of-gaming-keyboard-2115257/
Photo by Trinity Nguyen on Unsplash	https://unsplash.com/photos/Kl8UEhnKn2E
Photo by Amr Taha™ on Unsplash	https://unsplash.com/photos/8-yUbqk3XqI
Photo by Guglielmo Basile on Unsplash	https://unsplash.com/photos/FOT822IZaY0
Photo by Amr Taha™ on Unsplash	https://unsplash.com/photos/_an7SFyNHF0
Photo by Hello I'm Nik on Unsplash	https://unsplash.com/photos/yUS-0B7MUTc
pxfuel	https://www.pxfuel.com/en/free-photo-qgwdl
Photo by mahimzq from Pixabay	https://pixabay.com/vectors/controller-gaming-game-drawing-5465777/
Jon Ross	https://www.flickr.com/photos/jon_a_ross/2461948860/
Long Zheng	https://www.flickr.com/photos/longzheng/3081473986/
Long Zheng	https://www.flickr.com/photos/longzheng/3080617459/in/photostream/
cinefil_	https://www.flickr.com/photos/cinefil_/173849778/
Photo by Carolina Castilla Arias from Pexels	https://www.pexels.com/photo/close-up-photo-of-pokemon-pikachu-figurine-1716861/
vinsky2002	https://pixabay.com/images/id-4242468/
vinsky2002	https://pixabay.com/photos/jungle-troll-priest-war-craft-troll-4486456/
